STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
US1CAED0010,38.739173,-120.784593,620.6,8/7/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/8/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/9/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/10/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/11/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/12/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/13/2024,,,0,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/14/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/15/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/16/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/17/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/18/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/19/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/20/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/21/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/22/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/23/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/24/2024,,,0.05,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/25/2024,,,0.17,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/26/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/27/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/28/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/29/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/30/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,8/31/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/1/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/2/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/3/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/4/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/5/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/6/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/7/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/8/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/9/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/10/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/11/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/12/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/13/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/14/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/15/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/16/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/17/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/18/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/19/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/20/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/21/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/22/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/23/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/24/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/25/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/26/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/27/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/28/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/29/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,9/30/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/1/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/2/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/3/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/4/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/5/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/6/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/7/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/8/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/9/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/10/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/11/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/12/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/13/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/14/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/15/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/16/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/17/2024,,,0.21,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/18/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/19/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/20/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/21/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/22/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/23/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/24/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/25/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/26/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/27/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/28/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/29/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/30/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,10/31/2024,,,0.15,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/1/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/2/2024,,,0.37,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/3/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/4/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/5/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/6/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/7/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/8/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/9/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/10/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/11/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/12/2024,,,1.02,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/13/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/14/2024,,,0.11,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/15/2024,,,0.22,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/16/2024,,,0.1,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/17/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/18/2024,,,0.19,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/19/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/20/2024,,,0.01,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/21/2024,,,0.69,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/22/2024,,,0.31,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/23/2024,,,2.49,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/24/2024,,,0.14,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/25/2024,,,0.08,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/26/2024,,,0.38,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/27/2024,,,0.12,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/28/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/29/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,11/30/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/1/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/2/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/3/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/4/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/5/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/6/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/7/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/8/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/9/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/10/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/11/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/12/2024,,,0.76,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/13/2024,,,1,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/17/2024,4,2.01,,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/18/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/19/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/20/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/21/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/22/2024,,,0.32,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/23/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/24/2024,,,0.13,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/25/2024,,,0.15,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/26/2024,,,0.04,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/27/2024,,,1.53,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/28/2024,,,0.32,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/29/2024,,,0.25,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/30/2024,,,0.59,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,12/31/2024,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/1/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/2/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/3/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/4/2025,,,1.38,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/5/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/6/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/7/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/8/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/9/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/10/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/11/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/12/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/13/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/14/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/15/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/16/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/17/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/18/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/19/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/20/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/21/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/22/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/23/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/24/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/25/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/26/2025,,,0.09,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/27/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/28/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/29/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/30/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,1/31/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/1/2025,,,0.9,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/2/2025,,,1.46,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/3/2025,,,0.49,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/4/2025,,,1.25,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/5/2025,,,1.8,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/7/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/8/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/9/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/10/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/11/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/12/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/13/2025,,,1.68,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/14/2025,,,3.06,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/15/2025,,,0.17,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/16/2025,,,0.06,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/17/2025,,,0.02,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/18/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/19/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/20/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/21/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/22/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/23/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/24/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/25/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/26/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/27/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,2/28/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/1/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/2/2025,,,0.59,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/3/2025,,,0.55,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/4/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/5/2025,,,0.02,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/6/2025,,,0.2,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/7/2025,,,0.02,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/8/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/9/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/10/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/11/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/12/2025,,,0,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/13/2025,,,2.11,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/14/2025,,,0.55,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/15/2025,,,0.6,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/16/2025,,,0.02,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/17/2025,,,1.63,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/18/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/19/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/20/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/21/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/22/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/23/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/24/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/25/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/26/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/27/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/28/2025,,,0.17,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/29/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/30/2025,,,0.15,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,3/31/2025,,,0.62,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/1/2025,,,1.2,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/2/2025,,,0.75,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/3/2025,,,0.01,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/4/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/5/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/6/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/7/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/8/2025,,,0.24,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/9/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/10/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/11/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/12/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/13/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/14/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/15/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/16/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/17/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/18/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/19/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/20/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/21/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/22/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/23/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/24/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/25/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/26/2025,,,0.12,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/27/2025,,,0.31,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/28/2025,,,0.03,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/29/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,4/30/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/1/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/2/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/3/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/4/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/5/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/6/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/7/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/8/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/9/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/10/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/11/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/12/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/13/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/14/2025,,,0.09,,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/15/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/16/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/17/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/18/2025,,,0,0,,,,,,,,,,,,,
US1CAED0010,38.739173,-120.784593,620.6,5/19/2025,,,0,0,,,,,,,,,,,,,
